prefix,manuf
00:1B:02,Ed
00:1E:B6,TagHeuer
00:08:D1,Karel
00:0D:64,ComagHan
00:06:09,Crosspor
00:0F:21,Scientif
00:1A:C5,Breaking
78:E8:B6,Zte
F0:79:59,AsustekC
00:22:DA,AnatekLl
00:09:8B,Entropic
00:13:5C,Onsite
00:0C:0A,Guangdon
00:0E:21,MtuFried
00:90:1E,SelestaI
A4:56:02,Fenglian
AC:A2:2C,BaycityT
18:2B:05,8dTechno
00:80:6C,CegelecP
38:22:9D,PirelliT
E0:2A:82,Universa
C0:12:42,AlphaSec
20:47:47,Dell
B8:C7:5D,Apple
4C:82:CF,Echostar
48:A2:B7,KodofonJ
00:1F:FE,HpnSuppl
28:84:FA,Sharp
00:03:A6,TraxitTe
00:1B:FB,AlpsElec
08:7A:4C,HuaweiTe
00:01:3F,Neighbor
00:03:35,MiraeTec
BC:C2:3A,ThomsonV
00:13:C6,Opengear
00:26:F2,Netgear
DC:71:44,SamsungE
00:A0:D6,Sbe
CC:9E:00,Nintendo
00:26:C9,Proventi
00:0D:9F,RfMicroD
14:73:73,TubitakU
00:10:E6,AppliedI
00:30:5C,SmarLabo
78:CA:04,Nokia
8C:77:12,SamsungE
00:25:18,PowerPlu
E0:BC:43,C2Micros
00:03:8E,Atoga
2C:AB:25,Shenzhen
00:17:C1,CmPrecis
00:26:BB,Apple
64:7B:D4,TexasIns
00:90:92,Cisco
00:0D:6D,K-TechDe
38:59:F9,HonHaiPr
00:0B:4C,ClarionM
00:80:8A,SummitMi
0C:D7:C2,AxiumTec
00:90:CB,Wireless
00:23:11,Gloscom
00:10:3B,HippiNet
24:64:EF,CygSunri
58:87:E2,Shenzhen
00:16:7F,Bluebird
18:A3:E8,Fiberhom
00:D0:D2,Epilog
74:A7:22,LgElectr
00:11:6B,DigitalD
F4:E6:D7,SolarPow
58:B9:E1,Crystalf
00:12:4B,TexasIns
B8:26:6C,AnovFran
00:60:3C,Hagiwara
00:60:BE,Webtroni
00:10:1A,Picturet
3C:AA:3F,Ikey
00:60:02,ScreenSu
00:23:2D,Sandforc
00:01:D3,Paxcomm
08:00:0C,MiklynDe
80:79:AE,Shandong
00:04:39,RoscoEnt
00:1B:FD,Dignsys
00:1C:C4,Hewlett-
C0:3D:46,Shanghai
00:1E:94,Supercom
08:00:02,3Com
00:12:9D,FirstInt
00:30:99,BoenigUn
AC:11:D3,SuzhouHo
D8:1B:FE,Twinlinx
08:00:20,Oracle
00:04:AF,DigitalF
70:76:F0,Levelone
00:0E:D6,Cisco
B8:92:1D,BgT&A
98:8E:DD,TeConnec
9C:E2:30,Julong
6C:FA:89,Cisco
00:17:E5,TexasIns
00:13:AA,AlsTec
04:E0:C4,Triumph-
00:14:D7,Datastor
48:6B:91,Fleetwoo
00:60:84,DigitalV
00:E0:EC,Celestic
00:1E:A6,BestItWo
E4:68:A3,HuaweiTe
00:0C:9A,HitechEl
D4:21:22,Sercomm
A8:FC:B7,Consolid
00:05:52,XycotecC
4C:5F:D2,Alcatel-
00:22:80,A2bElect
08:00:89,Kinetics
00:12:42,Millenni
8C:87:3B,LeicaCam
00:08:F4,Bluetake
00:1A:6B,Universa
00:08:29,AvalNaga
00:22:AA,Nintendo
00:0C:35,KavoDent
00:0D:38,Nissin
E4:7D:5A,BeijingH
00:06:F9,MitsuiZo
00:0F:B7,CaviumNe
E4:1F:13,Ibm
00:02:31,Axis
00:19:A2,OrdynTec
00:90:D3,Giesecke
90:09:17,Far-Sigh
00:19:EE,CarloGav
4C:55:85,Hamilton
00:1A:3D,AjinVisi
00:15:F7,Wintecro
00:25:BA,Alcatel-
00:00:11,Tektrnix
00:16:C3,Ba
00:20:A6,ProximWi
54:1D:FB,Freestyl
80:B2:19,Elektron
00:10:C4,MediaGlo
54:61:EA,Zaplox
FC:D5:D9,Shenzhen
00:1C:1D,Chenzhou
1C:1A:C0,Apple
C8:19:F7,SamsungE
00:07:0C,Sva-Intr
00:40:D3,Kimpsion
DC:A6:BD,BeijingL
00:1D:F6,SamsungE
00:22:D2,AllEarth
00:14:9C,Hf
00:22:9D,Pyung-Hw
00:0A:EC,KoatsuGa
00:22:3C,RatioEnt
00:30:9C,TimingAp
4C:8D:79,Apple
40:66:7A,Mediola-
38:0A:94,SamsungE
00:25:4E,VertexWi
00:10:C8,Communic
00:21:2C,Semindia
00:22:45,LeineLin
00:50:90,Dctri
00:80:6E,NipponSt
00:18:DB,EplTechn
00:23:68,ZebraTec
68:EF:BD,Cisco
00:06:1E,Maxan
00:01:38,XaviTech
00:25:F1,ArrisGro
30:33:35,Boosty
00:03:34,NewportE
00:50:09,PhilipsB
00:14:05,Openib
AC:EA:6A,GenixInf
F4:28:53,ZioncomE
00:0A:0D,FciDeuts
8C:3A:E3,LgElectr
00:23:E4,Ipnect
00:21:4B,Shenzhen
6C:C1:D2,ArrisGro
60:36:96,Sapling
E8:DA:AA,Videohom
00:03:3F,BigbandN
00:25:0F,On-RampW
70:32:D5,AthenaWi
00:0E:49,ForswayS
00:00:9C,RolmMil-
88:8C:19,BradyAsi
D4:93:A0,FidelixO
00:05:EB,BlueRidg
00:07:06,Sanritz
04:C9:91,Phistek
00:16:86,KarlStor
00:60:FC,Conserva
50:F0:03,OpenStac
00:01:B3,Precisio
CC:FC:B1,Wireless
00:16:6C,SamsungE
B4:A9:5A,Avaya
00:A0:EF,Lucidata
00:40:3A,ImpactTe
00:26:07,Enabling
9C:A1:0A,ScleSfe
90:61:0C,FidaInte
00:1C:2B,AlertmeC
00:1C:DE,Interact
2C:50:89,Shenzhen
34:81:C4,Avm
04:46:65,MurataMa
CC:65:AD,ArrisGro
A8:95:B0,AkerSubs
00:A0:3E,AtmForum
14:A9:E3,Mst
00:03:74,ControlM
00:1A:F3,Samyoung
00:19:7F,Plantron
00:90:EB,SentryTe
30:6E:5C,ValidusT
48:43:7C,Apple
00:1C:1E,Emtrion
64:E6:25,WoxuWire
00:18:B1,Ibm
00:00:2C,Autotote
00:12:85,Gizmondo
00:A0:72,Ovation
00:21:E2,Creative
00:26:F1,Procurve
C8:34:8E,IntelCor
5C:FF:FF,Shenzhen
00:17:49,HyundaeY
F0:4B:6A,Scientif
E0:FF:F7,Softiron
00:50:91,Netacces
00:E0:9E,Quantum
DC:9F:DB,Ubiquiti
00:1E:4A,Cisco
64:D1:A3,SitecomE
34:6F:92,WhiteRod
00:BB:3A,Private
00:0A:39,LopaInfo
8C:53:F7,A&DEngin
FC:E8:92,Hangzhou
00:10:92,Netcore
00:26:02,SmartTem
3C:1E:13,Hangzhou
98:8B:5D,SagemCom
00:D0:8F,ArdentTe
64:67:07,BeijingO
00:12:7A,SanyuInd
00:1F:79,LodamEle
00:90:5E,Rauland-
00:40:57,Lockheed
90:4C:E5,HonHaiPr
00:05:49,SaliraOp
00:02:9A,StorageA
00:40:A3,Microuni
A0:6C:EC,Rim
B4:C7:99,ZebraTec
34:BA:9A,Asiatelc
F8:E9:03,D-LinkIn
00:22:9A,Lastar
00:1C:C8,Industro
C8:BC:C8,Apple
08:00:31,LittleMa
5C:E2:F4,AcsipTec
00:1B:CE,Measurem
00:1F:52,UvtUnter
94:F7:20,TianjinD
00:05:94,IxxatAut
00:14:AB,SenhaiEl
00:15:E4,ZimmerEl
47:54:43,GtcNotRe
00:04:50,DmdCompu
2C:FA:A2,Alcatel-
18:AF:61,Apple
74:2E:FC,Directpa
00:0F:CE,KikusuiE
00:01:F8,TexioTec
00:90:EF,Integrix
88:89:14,AllCompo
00:16:FC,Tohken
00:19:1B,SputnikE
00:0A:F9,Hiconnec
00:60:8F,TekramTe
00:18:9E,Omnikey
10:12:48,Itg
00:1B:05,Ymc
FC:A8:41,Avaya
E8:DF:F2,Prf
20:A2:E4,Apple
80:96:B1,ArrisGro
00:14:9B,NokotaCo
00:03:B5,EntraTec
00:05:51,FSElektr
5C:57:C8,Nokia
00:05:36,DanamCom
00:06:68,ViconInd
00:1C:C6,Prostor
00:01:54,G3m
58:91:CF,IntelCor
A8:32:9A,DigicomF
00:12:05,Terrasat
00:1F:D9,RsdCommu
00:0D:9A,Infotec
00:26:70,CinchCon
80:59:FD,Noviga
78:9F:70,Apple
9C:2A:70,HonHaiPr
00:0D:16,UhsPty
00:13:2E,ItianCop
00:1C:A9,Audiomat
58:47:04,Shenzhen
70:31:87,Acx
00:80:0F,SMC
0C:F3:EE,EmMicroe
50:27:C7,Technart
00:1D:08,JiangsuY
50:A6:E3,DavidCla
00:20:77,Kardios
28:16:2E,2wire
00:12:BB,Telecomm
00:17:FD,AmuletHo
00:01:78,Margi
D0:A3:11,Neuberge
00:10:01,Citel
00:30:2A,Southern
00:04:25,Atmel
00:01:22,TrendCom
00:0C:A4,Promptte
00:03:30,Imagenic
04:94:A1,CatchWin
00:0D:59,Amity
40:F4:07,Nintendo
10:EA:59,CiscoSpv
20:37:BC,KuipersE
00:30:85,Cisco
00:15:80,U-Way
78:49:1D,Will-Bur
00:0F:23,Cisco
00:18:D4,UnifiedD
00:A0:B3,Zykronix
00:40:FC,IbrCompu
00:0C:41,Cisco-Li
00:1E:AD,Wingtech
00:1B:08,DanfossD
00:06:88,TelwaysC
00:09:06,EsteemNe
00:1F:B6,ChiLinTe
00:50:AA,KonicaMi
00:21:F0,Ew3Techn
00:16:43,Sunhillo
70:60:DE,Lavision
D0:52:A8,Physical
00:01:CE,CustomMi
00:17:1F,Imv
00:12:21,BBraunMe
00:00:96,MarconiE
EC:23:68,Intelliv
00:22:8B,Kensingt
08:37:3D,SamsungE
00:06:BF,AccellaT
00:C0:F3,NetworkC
24:B6:57,Cisco
00:22:E4,ApassTec
60:D0:A9,SamsungE
00:D0:1F,SenetasS
00:08:7D,Cisco
00:06:1A,Zetari
70:58:12,Panasoni
70:E0:27,HongyuCo
00:07:76,FederalA
00:14:9F,SystemAn
00:1F:16,Wistron
00:90:BD,OmniaCom
D4:F4:6F,Apple
A4:6E:79,DftSyste
80:60:07,Rim
E0:3E:7D,Data-Com
00:30:AF,Honeywel
74:D6:EA,TexasIns
94:DF:58,IjElectr
00:19:1C,Sensicas
A0:5A:A4,GrandPro
00:0F:E0,Ncomputi
00:90:65,Finisar
00:26:7D,A-MaxTec
F0:E5:C3,Dr├Ágerwe
00:10:F3,NexcomIn
00:14:70,ProkomSo
00:21:12,WiscomSy
00:0C:38,Telcobri
00:A0:9A,NihonKoh
00:0A:28,Motorola
00:00:15,Datapoin
24:26:42,Sharp
00:1A:DF,Interact
3C:08:1E,BeijingY
00:12:30,PicasoIn
00:0B:C3,Multiple
C0:25:67,NexxtSol
00:23:00,CayeeCom
00:17:97,TelsyEle
00:22:5D,Digicabl
00:18:4E,LianheTe
00:09:A5,HansungE
34:7E:39,NokiaDan
00:15:60,Hewlett-
F8:22:85,CypressT
00:03:91,Advanced
CC:19:A8,PtInova├Ú
00:18:2C,AscendNe
CC:C1:04,AppliedT
00:0A:DC,Ruggedco
78:AC:C0,Hewlett-
00:10:C2,Willnet
00:50:8F,AsitaTec
00:1B:73,DtlBroad
00:22:4E,Seenergy
00:13:C1,AsokaUsa
00:26:8D,CelltelS
F0:15:A0,Kyungdon
00:19:F5,Imaginat
00:24:B7,Gridpoin
68:28:BA,Dejai
00:0A:1D,OpticalC
00:18:71,Hewlett-
00:11:C1,4pMobile
7C:6C:39,PixsysSr
00:23:EB,Cisco
00:25:1A,PsiberDa
00:1C:15,Iphotoni
00:00:27,JapanRad
00:01:F2,MarkOfUn
00:09:78,AijiSyst
38:D8:2F,Zte
00:0A:17,NestarCo
00:30:4E,BustecPr
94:EB:2C,Google
D8:78:E5,KuhnSa
00:07:63,Sunniwel
00:14:56,EdgeProd
38:BF:2F,Espec
DC:33:50,Techsat
50:E1:4A,Private
00:19:76,XipherTe
00:C0:8D,TronixPr
00:01:4B,Ennovate
64:43:46,Guangdon
F4:38:14,Shanghai
00:16:54,Flex-PIn
00:09:5F,Telebyte
00:D0:B7,Intel
00:06:6F,KoreaDat
00:1A:7B,Teleco
C0:A3:9E,Earthcam
00:1F:04,Granch
00:1C:DC,CustomCo
0C:93:01,PtPrasim
00:21:47,Nintendo
00:1C:9C,Nortel
64:AE:0C,Cisco
EC:88:8F,Tp-LinkT
00:26:86,Quantenn
04:4F:8B,Adapteva
0C:4F:5A,Asa-RtSR
40:C4:D6,Chongqin
00:25:09,Sharetro
00:40:33,AddtronT
00:60:AF,PacificM
28:A5:EE,Shenzhen
E8:8E:60,Nsd
54:FF:CF,MopriaAl
00:1C:95,Opticomm
00:90:03,Aplio
00:12:6F,RaysonTe
00:19:4E,UltraEle
00:1A:20,Cmotech
00:0D:9E,TokudenO
04:BD:70,HuaweiTe
00:0D:AB,ParkerHa
00:00:33,EganMach
00:1F:0F,SelectEn
C0:65:99,SamsungE
00:15:17,IntelCor
7C:D7:62,Freestyl
00:0F:99,ApacOpto
B8:09:8A,Apple
00:09:BE,Mamiya-O
00:18:E1,VerkerkS
34:BE:00,SamsungE
00:1B:5B,2wire
00:25:A1,Enalasys
00:40:4D,Telecomm
AC:AB:BF,Athentek
30:55:ED,TrexNetw
00:17:C2,AdbBroad
48:BE:2D,Symanitr
00:0C:91,Riverhea
44:56:B7,SpawnLab
54:E4:3A,Apple
FC:2A:54,Connecte
00:24:FB,Private
00:80:3A,Varitype
